order_id,customer_id,amount,status,country,event_ts,load_at
o-000001,c-1310,282.77,pending,BR,2026-06-23T07:08:00Z,2026-06-23
o-000002,c-1386,1852.97,completed,BR,2026-08-06T13:02:00Z,2026-08-06
o-000003,c-0192,550.50,completed,BR,2026-05-26T17:12:00Z,2026-05-27
o-000004,c-0452,1125.78,completed,BR,2026-05-23T05:44:00Z,2026-05-24
o-000005,c-0697,698.29,completed,BR,2026-07-05T03:05:00Z,2026-07-06
o-000006,c-0199,900.65,completed,BR,2026-06-25T01:46:00Z,2026-06-26
o-000007,c-1099,316.44,cancelled,BR,2026-06-02T17:18:00Z,2026-06-03
o-000008,c-1183,484.76,completed,BR,2026-08-15T07:49:00Z,2026-08-16
o-000009,c-0164,2139.02,pending,BR,2026-07-10T08:29:00Z,2026-07-11
o-000010,c-0334,928.60,completed,BR,2026-06-26T22:59:00Z,2026-06-26
o-000011,c-1248,1589.27,completed,BR,2026-06-23T05:29:00Z,2026-06-24
o-000012,c-0553,2473.86,completed,BR,2026-08-02T07:43:00Z,2026-08-03
o-000013,c-1727,1921.94,completed,BR,2026-05-27T10:25:00Z,2026-05-28
o-000014,c-0136,531.40,cancelled,BR,2026-07-02T06:41:00Z,2026-07-03
o-000015,c-0811,2212.28,completed,BR,2026-06-10T08:08:00Z,2026-06-10
o-000016,c-1526,1405.61,completed,BR,2026-08-05T13:57:00Z,2026-08-06
o-000017,c-0742,552.21,cancelled,BR,2026-07-27T15:05:00Z,2026-07-27
o-000018,c-1764,278.57,completed,BR,2026-08-18T13:38:00Z,2026-08-18
o-000019,c-0789,957.14,cancelled,BR,2026-07-29T08:35:00Z,2026-07-29
o-000020,c-1394,1803.20,completed,BR,2026-07-30T08:49:00Z,2026-07-31
o-000021,c-0229,737.28,completed,BR,2026-05-23T23:56:00Z,2026-05-24
o-000022,c-1991,1253.96,completed,BR,2026-06-05T20:19:00Z,2026-06-05
o-000023,c-0314,937.92,completed,BR,2026-07-29T00:38:00Z,2026-07-30
o-000024,c-1001,53.59,cancelled,BR,2026-07-01T07:03:00Z,2026-07-01
o-000025,c-1799,1420.56,completed,BR,2026-07-24T02:48:00Z,2026-07-24
o-000026,c-0263,1651.08,cancelled,BR,2026-06-13T08:33:00Z,2026-06-14
o-000027,c-1976,533.44,completed,BR,2026-08-19T06:45:00Z,2026-08-20
o-000028,c-0818,2487.90,completed,BR,2026-07-18T16:28:00Z,2026-07-18
o-000029,c-0508,565.62,completed,BR,2026-08-06T17:14:00Z,2026-08-06
o-000030,c-0015,182.13,completed,BR,2026-06-21T02:57:00Z,2026-06-21
o-000031,c-1761,829.42,completed,BR,2026-06-27T21:31:00Z,2026-06-27
o-000032,c-1105,335.12,cancelled,BR,2026-08-04T18:30:00Z,2026-08-04
